overview,genres,budget,popularity,runtime,vote_average,vote_count
"home movies, photographs, and recited poetry illustrate the life of tupac shakur, one of the most beloved, revolutionary, and volatile hip-hop mcs of all time.","['music', 'documentary']",0.0030612244897959,0.0206544634918853,0.5698924731182796,0.8936170212765957,0.0143513203214695
"set in kumba in south west cameroon sisters in law follows adultery, rape and abuse cases led by a female judge.",['documentary'],0.0,0.0003903779159665,0.4838709677419355,0.7446808510638298,0.0005740528128587
"ayurveda is a science of life and a healing art, where body, mind and spirit are given equal importance. this voyage of thousands of miles across india and abroad takes you on a unique poetic journey, where we encounter remarkable men of medicine or simply a villager who lives in harmony with nature. ""hope is nature's way of enabling us to survive so that we can discover nature itself.""",['documentary'],0.0030612244897959,0.0008721934387246,0.4516129032258065,0.3617021276595744,0.0011481056257175
two competing groups of high school students must rally together and enter a song and dance competition in order to save their church from closing.,['music'],0.0,0.0072313662361088,0.3655913978494624,0.3617021276595744,0.0017221584385763
"the man with no name enters the mexican village of san miguel in the midst of a power struggle among the three rojo brothers and sheriff john baxter. when a regiment of mexican soldiers bearing gold intended to pay for new weapons is waylaid by the rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",['western'],0.0020408163265305,0.6093329507140456,0.4301075268817204,0.8085106382978722,0.5063145809414467
paris 2002. yellow cats appear on the walls. chris marker is looking for these mysterious cats and captures with his camera the political and international events of these last two years (war in iraq...).,['documentary'],0.0,0.0014488884445009,0.0,0.8297872340425532,0.0011481056257175
"""the trials of darryl hunt"" is a feature documentary about a brutal rape/murder case and a wrongly convicted man, darryl hunt, who spent nearly twenty years in prison for a crime he did not commit. both a social justice story and a personally driven narrative, the film chronicles this capital case from 1984 through 2004. with exclusive footage from two decades, the film frames the judicial and emotional response to a chilling crime - and the implications that reverberate from hunt's conviction - against a backdrop of class and racial bias in the south and in the american criminal justice system.",['documentary'],0.0,0.0023619757733719,0.5053763440860215,0.6382978723404255,0.0017221584385763
"filmmaker michel orion scott captures a magical journey into a little-known world, in a documentary which chronicles rupert isaacson and kristin neff's personal odyssey to make sense of their child's autism, and find healing for him and themselves in the unlikeliest of places.",['documentary'],0.0,0.0073085962807588,0.3655913978494624,0.3617021276595744,0.0005740528128587
"a documentary about the closure of general motors' plant at flint, michigan, which resulted in the loss of 30,000 jobs. details the attempts of filmmaker michael moore to get an interview with gm ceo roger smith.","['documentary', 'history']",0.0016326530612244,0.0516207724428364,0.3440860215053763,0.7659574468085107,0.0510907003444316
"indie game: the movie is a feature documentary about video games, their creators and the craft. the film follows the dramatic journeys of video game developers as they create and release their games to the world. the film tells the emotional story of friends edmund mcmillen &amp; tommy refenes, as they craft their first xbox game: ""super meat boy"". it follows phil fish, the creator of the highly-anticipated game: ""fez"". after 4 years of working in near solitude, phil reveals his opus to the public for the first time. and, the film tells the surprising story of one of the highest-rated video games of all time:""braid"". the film is about making video games, but at its core, it's about the creative process, and exposing yourself through your work. in short: making fun and games is anything but fun and games.",['documentary'],0.0,0.1206433410452839,0.3978494623655914,0.7659574468085107,0.1159586681974741
"this video shows how the foreign policy interests of american political elites-working in combination with israeli public relations stratgies-influence us news reporting about the middle east conflict. combining american and british tv news clips with observations of analysts, journalists and political activists, peace, propaganda &amp; the promised land provides a brief historical overview, a striking media comparison, and an examination of factors that have distorted u.s. media coverage and, in turn, american public opinion.",['documentary'],0.0,0.000311120464772,0.2258064516129032,0.5531914893617021,0.0017221584385763
"martin scorsese's rockumentary intertwines footage from ""the band's"" incredible farewell tour with probing backstage interviews and featured performances by eric clapton, bob dylan, joni mitchell, ringo starr and other rock legends.","['documentary', 'music']",0.0,0.0515010768750598,0.6236559139784946,0.8723404255319149,0.0361653272101033
"when ambitious new york attorney sam is sent to shanghai on assignment, he immediately stumbles into a legal mess that could end his career. with the help of a beautiful relocation specialist, a well-connected old-timer, a clever journalist, and a street-smart legal assistant, sam might just save his job, find romance, and learn to appreciate the beauty and wonders of shanghai. written by anonymous  (imdb.com).",[],0.0,0.0134631738967729,0.4193548387096774,0.4042553191489362,0.0034443168771527
"ever since the second grade when he first saw her in e.t. the extraterrestrial, brian herzlinger has had a crush on drew barrymore. now, 20 years later he's decided to try to fulfill his lifelong dream by asking her for a date. there's one small problem: she's drew barrymore and he's, well, brian herzlinger, a broke 27-year-old aspiring filmmaker from new jersey.",['documentary'],0.0,0.0303248312337285,0.3333333333333333,0.5319148936170213,0.0086107921928817
"6th-century scandinavian warrior, beowulf embarks on a mission to slay the manlike ogre grendel, a descendant of cain.","['adventure', 'action', 'animation']",0.7142857142857143,0.5595216621867006,0.6021505376344086,0.3617021276595744,0.4822043628013778
"6th-century scandinavian warrior, beowulf embarks on a mission to slay the manlike ogre grendel, a descendant of cain.","['adventure', 'action', 'animation']",0.7142857142857143,0.5595216621867006,0.6021505376344086,0.3617021276595744,0.4822043628013778
"astérix and obélix have to win the olympic games in order to help their friend alafolix marry princess irina (portrayed by supermodel vanessa hessler). brutus (benoît poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father julius caesar (alain delon) in the process.","['fantasy', 'adventure', 'comedy', 'family']",0.992351020408163,0.3197328877732879,0.6129032258064516,0.2553191489361701,0.269804822043628
"conrad and sally walden are home alone with their pet fish. it is raining outside, and there is nothing to do. until the cat in the hat walks in the front door. he introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and the cat must go, go, go, before their parents get back.","['comedy', 'fantasy', 'family']",0.0,0.2868349161589598,0.2473118279569892,0.2340425531914894,0.2095292766934558
"depression-era bank robber john dillinger's charm and audacity endear him to much of america's downtrodden public, but he's also a thorn in the side of j. edgar hoover and the fledgling fbi. desperate to capture the elusive outlaw, hoover makes dillinger his first public enemy number one and assigns his top agent, melvin purvis, the task of bringing him in dead or alive.","['history', 'crime', 'drama']",0.8163265306122448,0.5295039280373147,0.870967741935484,0.5744680851063829,0.7709529276693456
"depression-era bank robber john dillinger's charm and audacity endear him to much of america's downtrodden public, but he's also a thorn in the side of j. edgar hoover and the fledgling fbi. desperate to capture the elusive outlaw, hoover makes dillinger his first public enemy number one and assigns his top agent, melvin purvis, the task of bringing him in dead or alive.","['history', 'crime', 'drama']",0.8163265306122448,0.5295039280373147,0.870967741935484,0.5744680851063829,0.7709529276693456
"soren, a young barn owl, is kidnapped by owls of st. aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. he and his new friends escape to the island of ga'hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of st. aggie's. the film is based on the first three books in the series.","['animation', 'adventure', 'family', 'fantasy']",0.8163265306122448,0.5865566255355125,0.4086021505376344,0.5744680851063829,0.4029850746268657
